old_name,new_name
LM.NA_HMA_QUYNH_PHUONG$NA_HMA_QUYNH_LIEN_2.kml,NA_HMA_QUYNH_PHUONG-NA_HMA_QUYNH_LIEN_2.kml
LM.NA_HMA_QUYNH_LOC_3$NA_HMA_CN_HOANG_MAI.kml,NA_HMA_CN_HOANG_MAI-NA_HMA_QUYNH_LOC_3.kml
AGG.NA_YTH_HOA_THANH$NA_HMA_QUYNH_XUAN.kml,NA_HMA_QUYNH_XUAN-NA_YTH_HOA_THANH.kml
CSG14.NA_HMA_QUYNH_THIEN$NA_HMA_QUYNH_LIEN_2.kml,NA_HMA_QUYNH_LIEN_2-NA_HMA_QUYNH_THIEN.kml
CSG13.NA_HMA_QUYNH_THIEN$NA_HMA_QUYNH_LOC.kml,NA_HMA_QUYNH_LOC-NA_HMA_QUYNH_THIEN.kml
CSG14.NA_HMA_QUYNH_XUAN$NA_HMA_QUYNH_THIEN.kml,NA_HMA_QUYNH_THIEN-NA_HMA_QUYNH_XUAN.kml
LM.NA_HNN_HUNG_CHAU$NA_HNN_HUNG_PHUC.kml,NA_HNN_HUNG_CHAU-NA_HNN_HUNG_PHUC.kml
LM.NA_NDN_NAM_GIANG_2$NA_HNN_HUNG_DAO.kml,NA_HNN_HUNG_DAO-NA_NDN_NAM_GIANG_2.kml
LM.NA_HNN_HUNG_DONG$NA_VIH_DEN_ONG_HOANG_MUOI.kml,NA_HNN_HUNG_DONG-NA_VIH_DEN_ONG_HOANG_MUOI.kml
LM.NA_HNN_HUNG_KHANH$NA_HNN_HUNG_CHAU.kml,NA_HNN_HUNG_KHANH-NA_HNN_HUNG_CHAU.kml
LM.NA_HNN_HUNG_LAM$NA_HNN_HUNG_TIEN.kml,NA_HNN_HUNG_LAM-NA_HNN_HUNG_TIEN.kml
LM.NA_HNN_HUNG_LOI$NA_HNN_HUNG_PHUC.kml,NA_HNN_HUNG_LOI-NA_HNN_HUNG_PHUC.kml
LM.NA_HNN_HUNG_LINH$NA_HNN_HUNG_LONG_2.kml,NA_HNN_HUNG_LONG_2-NA_HNN_HUNG_LINH.kml
LM.NA_HNN_HUNG_MY$NA_HNN_HUNG_THINH_2.kml,NA_HNN_HUNG_MY-NA_HNN_HUNG_THINH_2.kml
LM.NA_HNN_HUNG_NGUYEN_01R$NA_HNN_HUNG_NGUYEN.kml,NA_HNN_HUNG_NGUYEN_01R-NA_HNN_HUNG_NGUYEN.kml
LM.NA_HNN_HUNG_NGUYEN_3$NA_HNN_HUNG_NGUYEN.kml,NA_HNN_HUNG_NGUYEN_3-NA_HNN_HUNG_NGUYEN.kml
LM.NA_HNN_HUNG_THINH$NA_HNN_HUNG_THINH_3.kml,NA_HNN_HUNG_THINH_3-NA_HNN_HUNG_THINH.kml
LM.NA_HNN_HUNG_YEN_2$NA_HNN_HUNG_YEN.kml,NA_HNN_HUNG_YEN_2-NA_HNN_HUNG_YEN.kml
LM.NA_HNN_HUNG_DAO$NA_HNN_HUNG_DAO_2.kml,NA_HNN_HUNG_DAO_2-NA_HNN_HUNG_DAO.kml
CSG1.NA_HNN_HUNG_NGUYEN$NA_HNN_HUNG_NGUYEN_AGG.kml,NA_HNN_HUNG_NGUYEN-NA_HNN_HUNG_NGUYEN_AGG.kml
CSG1.NA_HNN_HUNG_TIEN$NA_HNN_HUNG_PHUC.kml,NA_HNN_HUNG_PHUC-NA_HNN_HUNG_TIEN.kml
CSG1.NA_HNN_HUNG_PHUC$NA_HNN_HUNG_THINH.kml,NA_HNN_HUNG_THINH-NA_HNN_HUNG_PHUC.kml
CSG1.NA_HNN_HUNG_TAN$NA_HNN_HUNG_TIEN.kml,NA_HNN_HUNG_TIEN-NA_HNN_HUNG_TAN.kml
LM.NA_NDN_NAM_PHUC$NA_NDN_DONG_DAI.kml,NA_NDN_DONG_DAI-NA_NDN_NAM_PHUC.kml
LM.NA_NDN_HUNG_TIEN$NA_NDN_HONG_LONG.kml,NA_NDN_HONG_LONG-NA_NDN_HUNG_TIEN.kml
